,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
134,dabat,0.0,ET,2018-11-13,66.0,12.98,37.77,65.25,2.59
135,port shepstone,0.0,ZA,2018-11-13,86.0,-30.74,30.45,72.18,24.36
136,oyama,75.0,JP,2018-11-13,67.0,36.31,139.8,59.0,13.87
137,vardo,90.0,US,2018-11-13,85.0,39.62,-77.74,42.8,6.93
138,port elizabeth,90.0,US,2018-11-13,100.0,39.31,-74.98,53.6,4.7
139,avarua,40.0,CK,2018-11-13,78.0,-21.21,-159.78,78.8,9.17
140,saint-pierre,90.0,FR,2018-11-13,93.0,48.95,4.24,51.8,11.41
141,rocha,88.0,UY,2018-11-13,86.0,-34.48,-54.34,69.57,14.79
142,talnakh,12.0,RU,2018-11-13,80.0,69.49,88.39,-26.47,10.83
143,alta floresta,64.0,BR,2018-11-13,97.0,-9.87,-56.08,71.64,3.0
144,abu samrah,80.0,SY,2018-11-13,90.0,35.3,37.18,52.47,3.38
145,provideniya,20.0,RU,2018-11-13,62.0,64.42,-173.23,23.0,17.9
146,chambas,20.0,CU,2018-11-13,78.0,22.19,-78.91,80.6,8.05
147,arraial do cabo,76.0,BR,2018-11-13,96.0,-22.97,-42.02,73.71,15.9
148,benguela,0.0,AO,2018-11-13,100.0,-12.58,13.4,77.04,2.04
149,thompson,90.0,CA,2018-11-13,77.0,55.74,-97.86,5.0,6.93
150,leh,68.0,IN,2018-11-13,89.0,34.16,77.58,13.54,1.48
151,kurchum,24.0,KZ,2018-11-13,100.0,48.57,83.65,4.86,2.48
152,longyearbyen,40.0,NO,2018-11-13,72.0,78.22,15.63,17.6,8.05
153,hami,92.0,CN,2018-11-13,87.0,42.84,93.51,32.04,3.56
154,cherskiy,0.0,RU,2018-11-13,50.0,68.75,161.3,-16.75,2.04
155,sandwick,92.0,GB,2018-11-13,100.0,54.57,-2.89,44.6,24.16
156,iqaluit,40.0,CA,2018-11-13,77.0,63.75,-68.52,-0.41,5.82
157,saskylakh,24.0,RU,2018-11-13,70.0,71.97,114.09,-23.5,5.61
158,mahebourg,40.0,MU,2018-11-13,74.0,-20.41,57.7,80.6,12.75
159,sao filipe,0.0,CV,2018-11-13,100.0,14.9,-24.5,74.61,16.91
160,sao joao da barra,76.0,BR,2018-11-13,100.0,-21.64,-41.05,75.51,14.34
161,razdolnoye,88.0,RU,2018-11-13,97.0,43.7,44.53,37.89,4.34
162,edinburg,90.0,US,2018-11-13,71.0,26.3,-98.16,50.0,17.22
163,san cristobal,75.0,EC,2018-11-13,93.0,-0.39,-78.55,51.8,3.36
164,anadyr,20.0,RU,2018-11-13,76.0,64.73,177.51,-7.61,17.9
165,codrington,64.0,AU,2018-11-13,76.0,-28.95,153.24,69.12,5.57
166,mzimba,8.0,MW,2018-11-13,59.0,-11.9,33.6,68.71,8.93
167,kutum,0.0,SD,2018-11-13,23.0,14.2,24.66,61.69,9.82
168,nepomuceno,0.0,BR,2018-11-13,94.0,-21.23,-45.23,63.9,7.36
169,aldan,56.0,RU,2018-11-13,66.0,58.61,125.39,7.11,3.38
170,oromocto,40.0,CA,2018-11-13,79.0,45.85,-66.47,24.8,2.24
171,yar-sale,92.0,RU,2018-11-13,91.0,66.83,70.83,31.14,25.7
172,mana,40.0,RS,2018-11-13,100.0,43.52,20.24,44.6,2.04
173,cockburn town,68.0,TC,2018-11-13,99.0,21.46,-71.14,81.72,19.66
174,lorengau,36.0,PG,2018-11-13,100.0,-2.02,147.27,83.7,9.42
175,sept-iles,90.0,CA,2018-11-13,79.0,50.2,-66.38,21.2,4.7
176,solnechnyy,36.0,RU,2018-11-13,74.0,50.72,136.64,32.08,7.29
177,qaqortoq,88.0,GL,2018-11-13,30.0,60.72,-46.03,41.0,27.51
178,wanxian,76.0,CN,2018-11-13,81.0,30.8,108.39,54.58,2.59
179,koungheul,32.0,SN,2018-11-13,64.0,13.98,-14.8,70.24,3.6
180,skjervoy,75.0,NO,2018-11-13,93.0,70.03,20.97,42.8,5.57
181,nampula,20.0,MZ,2018-11-13,64.0,-15.12,39.26,75.2,11.41
182,bunia,68.0,CD,2018-11-13,93.0,1.56,30.25,67.99,4.27
183,katangli,92.0,RU,2018-11-13,100.0,51.71,143.23,37.44,12.77
184,greece,90.0,US,2018-11-13,81.0,43.21,-77.69,39.02,6.93
185,ostrovnoy,80.0,RU,2018-11-13,95.0,68.05,39.51,31.05,20.04
186,kamuli,36.0,UG,2018-11-13,100.0,0.94,33.12,69.61,4.56
187,vao,92.0,EE,2018-11-13,98.0,59.1,26.19,43.65,15.79
188,kaeo,44.0,NZ,2018-11-13,42.0,-35.1,173.78,69.21,9.42
189,vostok,88.0,RU,2018-11-13,77.0,46.45,135.83,29.07,3.04
190,salalah,0.0,OM,2018-11-13,48.0,17.01,54.1,84.2,3.36
191,labelle,1.0,US,2018-11-13,90.0,26.76,-81.44,73.94,5.82
192,moose factory,1.0,CA,2018-11-13,78.0,51.26,-80.61,8.6,13.87
193,tagusao,36.0,PH,2018-11-13,97.0,9.19,117.81,82.17,4.05
194,robore,0.0,BO,2018-11-13,67.0,-18.33,-59.76,80.73,11.83
195,chuy,76.0,UY,2018-11-13,88.0,-33.69,-53.46,70.78,22.57
196,masoli,0.0,PH,2018-11-13,70.0,13.36,123.39,85.86,7.29
197,kisangani,64.0,CD,2018-11-13,86.0,0.52,25.21,77.13,2.71
198,paita,0.0,PE,2018-11-13,86.0,-5.09,-81.11,67.54,5.73
199,takoradi,92.0,GH,2018-11-13,100.0,4.89,-1.75,80.68,5.91
200,natal,40.0,BR,2018-11-13,74.0,-5.81,-35.21,80.6,10.29
201,haines junction,24.0,CA,2018-11-13,88.0,60.75,-137.51,17.01,2.21
202,port-gentil,75.0,GA,2018-11-13,94.0,-0.72,8.78,78.8,3.11
203,phetchaburi,20.0,TH,2018-11-13,70.0,13.1,99.94,86.0,6.93
204,dukat,0.0,RS,2018-11-13,86.0,42.44,22.31,33.21,3.11
205,shangrao,68.0,CN,2018-11-13,76.0,28.45,117.97,63.81,3.04
206,katsuura,75.0,JP,2018-11-13,63.0,33.93,134.5,62.6,13.87
207,mitu,56.0,IR,2018-11-13,96.0,36.2,46.09,40.99,2.82
208,ponta delgada,75.0,PT,2018-11-13,88.0,37.73,-25.67,66.2,12.75
